duration,pdays,variacion_empleo,euribor3m,nr.employed,y
94.0,999.0,1.4,4.96,5228.1,0
116.0,999.0,-1.8,1.244,5099.1,0
13.0,999.0,-1.8,1.354,5099.1,0
94.0,999.0,1.4,4.961,5228.1,0
344.0,999.0,1.1,4.86,5191.0,0
727.0,999.0,-1.8,1.405,5099.1,0
115.0,999.0,-1.8,1.354,5099.1,0
201.0,999.0,1.1,4.857,5191.0,0
93.0,999.0,1.1,4.857,5191.0,0
174.0,999.0,1.4,4.962,5228.1,0
253.0,999.0,-0.1,4.153,5195.8,0
217.0,999.0,-0.1,4.076,5195.8,0
233.0,999.0,1.4,4.864,5228.1,0
121.0,999.0,1.1,4.859,5191.0,0
292.0,999.0,1.4,4.963,5228.1,0
91.0,999.0,-2.9,1.262,5076.2,0
148.0,999.0,-1.8,0.654,5008.7,1
143.0,999.0,-0.1,4.12,5195.8,0
130.0,999.0,1.4,4.962,5228.1,0
41.0,999.0,-1.8,1.365,5099.1,0
180.0,999.0,1.1,4.856,5191.0,0
134.0,999.0,-1.8,1.281,5099.1,0
569.0,999.0,-2.9,1.252,5076.2,0
398.0,999.0,1.4,4.959,5228.1,0
98.0,999.0,-1.8,1.405,5099.1,0
262.0,999.0,-1.8,1.299,5099.1,0
551.0,999.0,-1.8,1.327,5099.1,0
597.0,999.0,1.1,4.857,5191.0,0
81.0,999.0,-1.8,1.313,5099.1,0
19.0,999.0,-1.8,1.281,5099.1,0
339.0,999.0,-0.1,4.153,5195.8,0
104.0,999.0,-1.8,1.266,5099.1,0
62.0,999.0,-0.1,4.021,5195.8,0
139.0,999.0,-1.8,0.638,5008.7,1
838.0,999.0,1.4,4.961,5228.1,1
84.0,999.0,1.4,4.963,5228.1,0
210.0,999.0,-1.8,1.405,5099.1,0
567.0,999.0,-0.1,4.021,5195.8,0
403.0,999.0,-1.8,1.334,5099.1,0
500.0,999.0,1.1,4.855,5191.0,0
70.0,999.0,1.4,4.967,5228.1,0
130.0,999.0,1.1,4.859,5191.0,0
296.0,999.0,-3.4,0.716,5017.5,1
199.0,999.0,1.4,4.96,5228.1,0
296.0,6.0,-0.1,4.153,5195.8,0
446.0,999.0,-3.4,0.714,5017.5,0
113.0,999.0,1.4,4.964,5228.1,0
262.0,999.0,1.1,4.86,5191.0,0
548.0,999.0,1.4,4.865,5228.1,0
314.0,999.0,-1.1,0.881,4963.6,1
96.0,999.0,-2.9,0.849,5076.2,0
87.0,999.0,-0.1,4.153,5195.8,0
348.0,999.0,-0.1,4.076,5195.8,0
93.0,999.0,1.4,4.964,5228.1,0
108.0,999.0,1.1,4.858,5191.0,0
210.0,6.0,-3.4,0.742,5017.5,1
201.0,999.0,-1.8,1.299,5099.1,0
60.0,999.0,-0.1,4.191,5195.8,0
160.0,999.0,1.4,4.964,5228.1,0
685.0,999.0,-1.8,1.313,5099.1,1
74.0,999.0,1.4,4.963,5228.1,0
217.0,999.0,1.1,4.86,5191.0,0
227.0,999.0,-1.8,1.327,5099.1,0
324.0,999.0,1.4,4.961,5228.1,0
274.0,999.0,1.4,4.961,5228.1,0
72.0,999.0,1.4,4.967,5228.1,0
344.0,999.0,-1.8,1.291,5099.1,0
167.0,6.0,-1.8,0.642,5008.7,1
107.0,999.0,-2.9,0.881,5076.2,0
158.0,999.0,-0.1,4.021,5195.8,0
402.0,999.0,1.4,4.962,5228.1,0
89.0,999.0,-0.1,4.021,5195.8,0
26.0,999.0,-0.1,4.021,5195.8,0
1007.0,999.0,1.1,4.855,5191.0,0
184.0,999.0,1.1,4.86,5191.0,0
244.0,999.0,1.1,4.855,5191.0,0
220.0,999.0,-1.7,0.827,4991.6,1
129.0,999.0,1.4,4.959,5228.1,0
193.0,999.0,1.1,4.86,5191.0,0
613.0,999.0,-0.1,4.153,5195.8,0
986.0,7.0,-3.4,0.714,5017.5,0
434.0,999.0,-1.8,1.327,5099.1,0
747.0,999.0,1.4,4.962,5228.1,0
45.0,999.0,-0.1,4.245,5195.8,0
154.0,999.0,-1.8,1.281,5099.1,0
349.0,999.0,1.1,4.856,5191.0,0
41.0,999.0,1.4,4.96,5228.1,0
291.0,999.0,-0.1,4.12,5195.8,0
491.0,999.0,1.4,4.961,5228.1,0
138.0,999.0,-1.1,0.965,4963.6,0
123.0,999.0,-0.1,4.153,5195.8,0
74.0,999.0,-1.8,1.299,5099.1,0
104.0,999.0,-0.1,4.191,5195.8,0
86.0,999.0,1.1,4.857,5191.0,0
270.0,999.0,1.4,4.964,5228.1,0
14.0,999.0,1.4,4.968,5228.1,0
152.0,999.0,1.4,4.963,5228.1,0
951.0,999.0,1.1,4.858,5191.0,0
137.0,999.0,1.4,4.864,5228.1,0
172.0,999.0,1.4,4.957,5228.1,0
254.0,999.0,1.1,4.856,5191.0,0
134.0,999.0,1.1,4.86,5191.0,0
399.0,999.0,-1.8,1.41,5099.1,0
169.0,999.0,-1.8,1.281,5099.1,0
14.0,999.0,-1.8,1.266,5099.1,0
51.0,999.0,1.4,4.96,5228.1,0
93.0,999.0,-1.8,1.266,5099.1,0
951.0,999.0,-1.8,1.281,5099.1,1
227.0,999.0,-1.8,1.25,5099.1,0
587.0,999.0,1.1,4.86,5191.0,0
554.0,999.0,1.4,4.96,5228.1,0
418.0,999.0,1.1,4.856,5191.0,0
809.0,999.0,-1.8,1.281,5099.1,1
64.0,999.0,1.4,4.963,5228.1,0
114.0,999.0,-1.8,1.291,5099.1,0
237.0,999.0,1.4,4.968,5228.1,0
176.0,999.0,1.4,4.966,5228.1,0
177.0,999.0,1.4,4.961,5228.1,0
244.0,999.0,-0.1,4.021,5195.8,0
67.0,999.0,1.4,4.957,5228.1,0
83.0,999.0,-2.9,1.26,5076.2,0
128.0,999.0,1.4,4.968,5228.1,0
379.0,999.0,-1.8,1.405,5099.1,0
553.0,999.0,1.1,4.864,5191.0,1
120.0,999.0,1.1,4.864,5191.0,0
118.0,999.0,-1.7,0.715,4991.6,0
250.0,999.0,-0.1,4.076,5195.8,0
136.0,999.0,1.1,4.855,5191.0,0
165.0,999.0,1.4,4.967,5228.1,0
155.0,999.0,-1.8,1.405,5099.1,0
653.0,999.0,-0.1,4.076,5195.8,1
150.0,999.0,1.1,4.857,5191.0,0
266.0,999.0,1.4,4.963,5228.1,0
93.0,4.0,-2.9,0.879,5076.2,0
50.0,999.0,1.4,4.963,5228.1,0
116.0,999.0,-1.8,1.405,5099.1,0
1480.0,999.0,-0.1,4.021,5195.8,1
157.0,999.0,-1.8,1.291,5099.1,0
250.0,999.0,1.4,4.967,5228.1,0
307.0,999.0,1.1,4.857,5191.0,0
489.0,999.0,1.1,4.856,5191.0,0
360.0,999.0,1.1,4.857,5191.0,0
51.0,999.0,1.4,4.963,5228.1,0
268.0,999.0,1.4,4.961,5228.1,0
453.0,999.0,1.4,4.957,5228.1,0
131.0,999.0,1.4,4.968,5228.1,0
43.0,999.0,-0.1,4.021,5195.8,0
68.0,999.0,1.1,4.858,5191.0,0
97.0,999.0,-1.8,1.291,5099.1,0
110.0,999.0,-1.1,0.876,4963.6,0
85.0,999.0,1.1,4.857,5191.0,0
67.0,999.0,1.4,4.958,5228.1,0
696.0,999.0,-3.0,0.718,5023.5,1
47.0,999.0,-1.8,1.56,5099.1,0
448.0,999.0,1.4,4.96,5228.1,0
80.0,999.0,1.4,4.864,5228.1,0
724.0,999.0,1.4,4.963,5228.1,1
40.0,999.0,1.4,4.961,5228.1,0
318.0,999.0,1.4,4.963,5228.1,0
100.0,999.0,1.4,4.959,5228.1,0
695.0,999.0,1.4,4.962,5228.1,1
870.0,999.0,1.4,4.963,5228.1,0
161.0,999.0,-1.8,1.334,5099.1,0
72.0,999.0,1.1,4.858,5191.0,0
217.0,999.0,-1.8,1.281,5099.1,0
587.0,999.0,1.4,4.959,5228.1,1
405.0,999.0,1.4,4.96,5228.1,0
95.0,999.0,1.1,4.857,5191.0,0
103.0,999.0,-0.1,4.153,5195.8,0
272.0,999.0,-1.8,0.644,5008.7,1
35.0,999.0,1.1,4.86,5191.0,0
220.0,999.0,1.4,4.96,5228.1,0
188.0,999.0,1.4,4.963,5228.1,0
252.0,999.0,1.4,4.962,5228.1,0
290.0,999.0,1.1,4.857,5191.0,0
1294.0,999.0,1.4,4.963,5228.1,1
370.0,9.0,-1.8,0.643,5008.7,0
52.0,999.0,1.4,4.961,5228.1,0
80.0,999.0,1.1,4.857,5191.0,0
740.0,999.0,1.4,4.965,5228.1,0
304.0,12.0,-1.8,1.299,5099.1,0
172.0,999.0,-1.8,1.281,5099.1,0
40.0,999.0,-0.1,4.191,5195.8,0
293.0,3.0,-3.4,0.803,5017.5,1
437.0,999.0,1.1,4.857,5191.0,0
93.0,999.0,-1.8,1.405,5099.1,0
135.0,999.0,1.4,4.961,5228.1,0
164.0,3.0,-1.1,0.879,4963.6,1
325.0,999.0,-1.8,1.445,5099.1,0
195.0,999.0,1.1,4.857,5191.0,0
317.0,999.0,-1.8,1.244,5099.1,0
1373.0,999.0,1.4,4.957,5228.1,1
50.0,999.0,1.4,4.96,5228.1,0
327.0,999.0,1.4,4.962,5228.1,0
22.0,999.0,1.1,4.86,5191.0,0
326.0,999.0,-1.8,1.244,5099.1,0
208.0,999.0,-1.8,1.266,5099.1,0
413.0,999.0,-2.9,1.048,5076.2,0
361.0,999.0,-1.8,1.291,5099.1,0
2016.0,999.0,-0.1,5.0,5195.8,1
824.0,999.0,1.1,4.859,5191.0,0
68.0,999.0,1.4,4.865,5228.1,0
130.0,999.0,-1.8,1.405,5099.1,0
243.0,999.0,1.1,4.859,5191.0,0
342.0,999.0,-1.8,1.405,5099.1,0
270.0,999.0,1.1,4.856,5191.0,0
154.0,999.0,1.4,4.962,5228.1,0
510.0,999.0,1.4,4.96,5228.1,0
643.0,999.0,-1.8,1.354,5099.1,1
9.0,999.0,1.4,4.959,5228.1,0
369.0,999.0,1.4,4.961,5228.1,0
144.0,999.0,1.4,4.963,5228.1,0
364.0,999.0,-0.1,4.191,5195.8,0
170.0,999.0,1.4,4.965,5228.1,0
55.0,999.0,1.1,4.864,5191.0,0
104.0,999.0,-1.8,1.281,5099.1,0
174.0,999.0,-2.9,0.879,5076.2,0
578.0,999.0,-0.1,4.191,5195.8,0
160.0,999.0,1.1,4.86,5191.0,0
242.0,999.0,1.4,4.963,5228.1,0
586.0,999.0,1.4,4.957,5228.1,1
1200.0,999.0,1.4,4.96,5228.1,0
